chr1:14362-29370	WASH7P
chr1:28157325-28178183	PPP1R8
chr1:28199054-28213196	THEMIS2
chr1:28218036-28241308	RPA2
chr1:28261466-28282991	SMPDL3B
chr1:28261466-28285668	SMPDL3B
chr1:28296855-28415148	EYA3
chr1:28303784-28415148	EYA3
chr1:28314984-28415148	EYA3
chr1:28473677-28503455	PTAFR
chr1:28473677-28520447	PTAFR
chr1:28526790-28559542	DNAJC8
chr1:28585963-28609002	SESN2
chr1:28696065-28826881	PHACTR4
chr1:28764661-28826881	PHACTR4
chr1:28832455-28865708	RCC1
chr1:28844745-28865708	RCC1
chr1:28995240-29042115	GMEB1
chr1:29063136-29096287	YTHDF2
chr1:29063452-29096287	YTHDF2
chr1:29138654-29190208	OPRD1
chr1:29474250-29508637	SRSF4
chr1:29563028-29653325	PTPRU
chr1:31205315-31230683	LAPTM5
chr1:31297499-31307131	LINC01778
chr1:31342313-31381480	SDC3
chr1:31652592-31712734	NKAIN1
chr1:31732415-31769644	SNRNP40
chr1:31769829-31837800	ZCCHC17
chr1:31882412-31907527	SERINC2
chr1:31883021-31907527	SERINC2
chr1:31885963-31907527	SERINC2
chr1:31886660-31907527	SERINC2
chr1:32042086-32053287	TINAGL1
chr1:32043746-32053287	TINAGL1
chr1:32083301-32092919	HCRTR1
chr1:32095463-32110218	PEF1
chr1:32095463-32110838	PEF1
chr1:32192706-32229664	ADGRB2
chr1:32372022-32385259	PTP4A2
chr1:32372022-32403988	PTP4A2
chr1:32479295-32526460	KHDRBS1
chr1:32537632-32568467	TMEM39B
chr1:32538500-32568467	TMEM39B
chr1:32573644-32642168	KPNA6
chr1:32645345-32663886	TXLNA
chr1:32697261-32707311	MTMR9LP
chr1:32716840-32751768	LCK
chr1:32739712-32751768	LCK
chr1:32830234-32860062	BSDC1
chr1:32930658-32953459	ZBTB8B
chr1:33004746-33071551	ZBTB8A
chr1:33086424-33116191	ZBTB8OS
chr1:33116749-33151812	RBBP4
chr1:33145507-33168361	SYNC
chr1:33207512-33240571	KIAA1522
chr1:33231235-33240571	KIAA1522
chr1:33240840-33283633	YARS
chr1:33283043-33324480	S100PBP
chr1:33290914-33324480	S100PBP
chr1:33327869-33338093	FNDC5
chr1:33402047-33430414	RNF19B
chr1:33473541-33502512	AK2
chr1:33476826-33502512	AK2
chr1:33478645-33502512	AK2
chr1:33546714-33586132	AZIN2
chr1:33546730-33586132	AZIN2
chr1:33547779-33567493	AZIN2
chr1:33547779-33586132	AZIN2
chr1:33611003-33642151	TRIM62
chr1:33611003-33647671	TRIM62
chr1:33722174-33766320	ZNF362
chr1:33772367-33786699	A3GALT2
chr1:33789224-33815499	PHC2
chr1:33789224-33841194	PHC2
chr1:33938232-33961995	ZSCAN20
chr1:34334557-34351059	CSMD2-AS1
chr1:34642553-34684731	C1orf94
chr1:35315963-35325338	SMIM12
chr1:35315963-35325417	SMIM12
chr1:35331037-35395186	DLGAP3
chr1:35451767-35497569	ZMYM6
chr1:35641979-35658746	SFPQ
chr1:35649201-35658743	SFPQ
chr1:36023393-36032380	NCDN
chr1:36038971-36060927	TFAP2E
chr1:36065143-36097138	PSMB2
chr1:36065143-36107152	PSMB2
chr1:36065143-36107445	PSMB2
chr1:36197713-36235551	CLSPN
chr1:36335409-36389899	AGO1
chr1:36602170-36615115	TRAPPC3
chr1:36602170-36621654	TRAPPC3
chr1:36621566-36646451	MAP7D1
chr1:36690013-36770957	THRAP3
chr1:36690017-36770957	THRAP3
chr1:36805220-36851528	STK40
chr1:36883507-36916086	OSCP1
chr1:36893901-36916086	OSCP1
chr1:36931644-36948915	CSF3R
chr1:37261128-37499844	GRIK3
chr1:37920480-37940044	LINC01137
chr1:37940119-37949978	ZC3H12A
chr1:38000050-38019945	SNIP1
chr1:38022520-38032458	DNALI1
chr1:38076951-38100595	RSPO1
chr1:38147242-38156267	C1orf109
chr1:38158073-38175391	CDCA8
chr1:38181646-38230824	EPHA10
chr1:38326369-38412729	INPP5B
chr1:39328162-39339050	MYCBP
chr1:39351478-39395185	RHBDL2
chr1:39456916-39471737	AKIRIN1
chr1:39987952-40025370	PPIEL
chr1:40026485-40042521	PABPC4
chr1:40089103-40105348	HEYL
chr1:40124793-40137710	NT5C1A
chr1:40204517-40222441	PPIE
chr1:40222854-40254533	BMP8B
chr1:40306706-40349183	TRIT1
chr1:40420784-40435640	MFSD2A
chr1:40505737-40538321	CAP1
chr1:40506255-40538321	CAP1
chr1:40506523-40538321	CAP1
chr1:40538382-40563142	PPT1
chr1:40627041-40706593	RLF
chr1:40766163-40782939	COL9A2
chr1:40839378-40888998	SMAP2
chr1:40862472-40888998	SMAP2
chr1:40916337-40929390	ZFP69B
chr1:40943302-40962015	ZFP69
chr1:40997233-41013841	ZNF684
chr1:41157242-41237275	NFYC
chr1:41157680-41237275	NFYC
chr1:41174995-41237276	NFYC
chr1:41204508-41237276	NFYC
chr1:41249684-41306124	KCNQ4
chr1:41444971-41478237	CTPS1
chr1:41454120-41478237	CTPS1
chr1:41480262-41509562	SLFNL1-AS1
chr1:41827603-41849263	FOXO6
chr1:41972036-42384378	HIVEP3
chr1:42312860-42384496	HIVEP3
chr1:42642210-42800886	FOXJ3
chr1:42642210-42800903	FOXJ3
chr1:42846468-42889900	RIMKLA
chr1:42896001-42921938	ZMYND12
chr1:43000560-43120335	CCDC30
chr1:43124048-43142429	PPIH
chr1:43147906-43169474	YBX1
chr1:43148658-43169474	YBX1
chr1:43253661-43263901	TMEM269
chr1:43272723-43283059	SVBP
chr1:43291249-43310660	ERMAP
chr1:43323293-43354463	LOC339539
chr1:43391046-43424847	SLC2A1
chr1:43424720-43449029	SLC2A1-AS1
chr1:43638001-43720029	CFAP57
chr1:43803475-43820135	MPL
chr1:43991708-44089343	PTPRF
chr1:43996531-44089343	PTPRF
chr1:44115797-44171189	KDM4A
chr1:44173168-44396837	ST3GAL3
chr1:44412478-44433694	IPO13
chr1:44444874-44456843	B4GALT2
chr1:44446177-44456843	B4GALT2
chr1:44462155-44496795	SLC6A9
chr1:44462155-44497164	SLC6A9
chr1:44584522-44600809	KLF17
chr1:44688267-44709955	ERI3-IT1
chr1:44870832-45117396	RNF220
chr1:45118919-45140280	TMEM53
chr1:45140394-45191263	C1orf228
chr1:45205490-45233438	KIF2C
chr1:45287938-45308616	PTCH2
chr1:45340201-45452394	EIF2B3
chr1:45468220-45477027	HECTD3
chr1:45482076-45672250	ZSWIM5
chr1:45794914-45805629	MUTYH
chr1:45794914-45805787	MUTYH
chr1:45794914-45805788	MUTYH
chr1:45794914-45806142	MUTYH
chr1:45965856-45976739	MMACHC
chr1:45976707-45987610	PRDX1
chr1:45976707-45988562	PRDX1
chr1:46049660-46084578	NASP
chr1:46092976-46152302	GPBP1L1
chr1:46164407-46216485	IPP
chr1:46269279-46501796	MAST2
chr1:46269285-46501796	MAST2
chr1:46330020-46501796	MAST2
chr1:46505812-46597443	PIK3R3
chr1:46505812-46598467	PIK3R3
chr1:46505812-46640573	PIK3R3
chr1:46640749-46651634	TSPAN1
chr1:46669006-46686928	LURAP1
chr1:46713367-46744145	RAD54L
chr1:46769285-46782449	UQCRH
chr1:46805849-46830824	NSUN4
chr1:46859939-46879520	FAAH
chr1:46899499-46911374	FAAHP1
chr1:47004368-47035927	MKNK1-AS1
chr1:47023079-47069966	MKNK1
chr1:47023079-47069973	MKNK1
chr1:47073387-47082563	MOB3C
chr1:47100711-47131550	ATPAF1
chr1:47100711-47134099	ATPAF1
chr1:47139708-47157769	EFCAB14-AS1
chr1:47140831-47184736	EFCAB14
chr1:47264670-47285021	CYP4B1
chr1:47308767-47366147	CYP4Z2P
chr1:47394846-47407156	CYP4A11
chr1:47427036-47516426	CYP4X1
chr1:47469912-47516426	CYP4X1
chr1:47489240-47516423	CYP4X1
chr1:47533160-47583992	CYP4Z1
chr1:47603097-47613153	CYP4A22
chr1:47603097-47614526	CYP4A22
chr1:47681962-47698007	TAL1
chr1:47715811-47779819	STIL
chr1:47799469-47824547	CMPK1
chr1:47799469-47844511	CMPK1
chr1:47846468-47902989	LINC01389
chr1:49193195-49242641	BEND5
chr1:49839873-49937757	AGBL4-IT1
chr1:50569582-50669457	ELAVL4
chr1:50571937-50669457	ELAVL4
chr1:50574592-50646972	ELAVL4
chr1:50574592-50669457	ELAVL4
chr1:50575288-50646972	ELAVL4
chr1:50906935-51425936	FAF1
chr1:51567906-51613754	C1orf185
chr1:51701945-51739119	RNF11
chr1:51752930-51763633	TTC39A
chr1:51752930-51795874	TTC39A
chr1:51752930-51796236	TTC39A
chr1:51752930-51810788	TTC39A
chr1:51761210-51796236	TTC39A
chr1:51819935-51984995	EPS15
chr1:52082546-52254891	OSBPL9
chr1:52195486-52254891	OSBPL9
chr1:52254866-52343712	NRDC
chr1:52485804-52521843	TXNDC12
chr1:52838501-52870143	ORC1
chr1:52888948-53018762	ZCCHC11
chr1:53099016-53122737	FAM159A
chr1:53099016-53134792	FAM159A
chr1:53152014-53164038	COA7
chr1:53192131-53293013	ZYG11B
chr1:53361582-53387457	ECHDC2
chr1:53392901-53459904	SCP2
chr1:53392901-53517289	SCP2
chr1:53480610-53517289	SCP2
chr1:53527724-53551174	PODN
chr1:53552851-53608304	SLC1A7
chr1:53573600-53608304	SLC1A7
chr1:53692564-53704282	MAGOH
chr1:53708041-53793821	LRP8
chr1:54231134-54304225	NDC1
chr1:54317392-54355487	YIPF1
chr1:54317392-54355504	YIPF1
chr1:54387234-54411496	HSPB11
chr1:54387234-54411981	HSPB11
chr1:54411999-54433841	LRRC42
chr1:54472971-54483859	LDLRAD1
chr1:54492354-54519111	TMEM59
chr1:54492354-54519246	TMEM59
chr1:54519245-54567321	TCEANC2
chr1:54604668-54618679	CDCP2
chr1:54638027-54665746	CYB5RL
chr1:54665840-54684056	MRPL37
chr1:54665840-54691162	MRPL37
chr1:54691104-54872068	SSBP3
chr1:55013807-55076005	ACOT11
chr1:55074850-55089200	FAM151A
chr1:55107413-55208328	MROH7-TTC4
chr1:55181495-55208328	TTC4
chr1:55250224-55266941	TTC22
chr1:55315300-55352921	DHCR24
chr1:55446337-55457966	TMEM61
chr1:55464617-55474465	BSND
chr1:55505149-55530526	PCSK9
chr1:55505895-55530526	PCSK9
chr1:55532032-55681039	USP24
chr1:55683534-55699850	MIR4422HG
chr1:56960419-57045257	PLPP3
chr1:57093464-57110991	LOC101929935
chr1:57184477-57285369	C1orf168
chr1:57320443-57383894	C8A
chr1:57394883-57431813	C8B
chr1:58946391-59012471	OMA1
chr1:59250823-59365384	LINC01135
chr1:59597608-59612479	HSD52
chr1:59981301-60228402	FGGY
chr1:60280533-60342050	HOOK1
chr1:60358980-60392470	CYP2J2
chr1:60456066-60539442	C1orf87
chr1:60981388-61088357	LINC01748
chr1:61125303-61291256	LOC101926964
chr1:61405916-61436448	NFIA-AS2
chr1:61419410-61436448	NFIA-AS2
chr1:61547534-61928460	NFIA
chr1:61547980-61928460	NFIA
chr1:62208138-62629591	PATJ
chr1:62701837-62785085	KANK4
chr1:62901975-62917475	USP1
chr1:62902383-62917475	USP1
chr1:63049776-63154039	DOCK7
chr1:63063158-63071976	ANGPTL3
chr1:63249777-63330941	ATG4C
chr1:63466168-63476596	LINC01739
chr1:63466168-63476939	LINC01739
chr1:63466168-63478142	LINC01739
chr1:63624754-63782928	LINC00466
chr1:63833261-63904233	ALG6
chr1:63906441-63988944	ITGB3BP
chr1:64058947-64125916	PGM1
chr1:64088887-64125916	PGM1
chr1:64239690-64609052	ROR1
chr1:64560125-64577888	ROR1-AS1
chr1:64669301-64711957	UBE2U
chr1:64971597-65158741	CACHD1
chr1:65210778-65298914	RAVER2
chr1:65445260-65468159	LINC01359
chr1:65613513-65697828	AK4
chr1:65613850-65697828	AK4
chr1:65730377-65881552	DNAJC6
chr1:65886131-65901690	LEPROT
chr1:65886335-66096095	LEPR
chr1:65886335-66101111	LEPR
chr1:65886335-66103176	LEPR
chr1:65886399-65901690	LEPROT
chr1:65991372-66091917	LEPR
chr1:65991372-66096095	LEPR
chr1:66258193-66840262	PDE4B
chr1:66378928-66840262	PDE4B
chr1:66797791-66840262	PDE4B
chr1:66820061-66840262	PDE4B
chr1:66999252-67216822	SGIP1
chr1:66999639-67216822	SGIP1
chr1:67218140-67244730	TCTEX1D1
chr1:67303282-67390570	WDR78
chr1:67390578-67413923	MIER1
chr1:67390578-67454302	MIER1
chr1:67395926-67454302	MIER1
chr1:67465015-67520080	SLC35D1
chr1:67557859-67600654	C1orf141
chr1:67632169-67725650	IL23R
chr1:67873493-67896123	SERBP1
chr1:68591041-68698229	WLS
chr1:68591041-68698284	WLS
chr1:68894507-68915642	RPE65
chr1:68939835-68962904	DEPDC1
chr1:69521581-69650685	LINC01707
chr1:70610485-70671361	LRRC40
chr1:70687034-70718732	SRSF11
chr1:71418115-71513491	PTGER3
chr1:71436464-71513491	PTGER3
chr1:71868625-72748277	NEGR1
chr1:73771853-73804560	LINC01360
chr1:74140362-74204325	LINC02238
chr1:74491702-74663871	LRRIQ3
chr1:74663896-74930609	FPGT-TNNI3K
chr1:75043114-75091782	ERICH3-AS1
chr1:75055419-75091782	ERICH3-AS1
chr1:75171172-75199092	CRYZ
chr1:75198862-75232360	TYW3
chr1:75594119-75627218	LHX8
chr1:75600567-75627218	LHX8
chr1:75667818-76076801	SLC44A5
chr1:75671817-76081694	SLC44A5
chr1:75672075-76076799	SLC44A5
chr1:76190032-76229363	ACADM
chr1:76251879-76260775	RABGGTB
chr1:76262556-76378923	MSH4
chr1:76384558-76398116	ASB17
chr1:76540369-77096669	ST6GALNAC3
chr1:76540369-77103001	ST6GALNAC3
chr1:77333093-77533223	ST6GALNAC5
chr1:77554667-77685132	PIGK
chr1:77747662-78025654	AK5
chr1:77748287-78025654	AK5
chr1:78028101-78149112	ZZZ3
chr1:78245309-78345225	MIGA1
chr1:78354200-78409578	NEXN
chr1:78409736-78444889	FUBP1
chr1:78412167-78444889	FUBP1
chr1:78445868-78483648	DNAJB4
chr1:78470512-78483648	DNAJB4
chr1:78510646-78604133	GIPC2
chr1:78695283-78835147	MGC27382
chr1:79086067-79111830	IFI44L
chr1:79115477-79129763	IFI44
chr1:79355449-79472495	ADGRL4
chr1:81001440-81112473	LINC01781
chr1:81979565-82023387	LOC101927434
chr1:82266061-82459616	ADGRL2
chr1:82266082-82459616	ADGRL2
chr1:83439566-83451891	LINC01361
chr1:84330715-84464870	TTLL7
chr1:84543658-84704181	PRKACB
chr1:84609931-84671122	PRKACB
chr1:84629867-84671122	PRKACB
chr1:84630323-84671122	PRKACB
chr1:84647315-84704181	PRKACB
chr1:84767289-84816481	SAMD13
chr1:84768334-84816481	SAMD13
chr1:84830641-84850484	UOX
chr1:84864215-84880691	DNASE2B
chr1:84944920-84964033	RPF1
chr1:84971984-85022178	SPATA1
chr1:85018804-85040163	CTBS
chr1:85063647-85086714	LINC01461
chr1:85109390-85156240	SSX2IP
chr1:85279086-85358896	LPAR3
chr1:85391266-85462805	MCOLN2
chr1:85527981-85598821	WDR63
chr1:85715637-85725355	C1orf52
chr1:85731460-85742587	BCL10
chr1:85784168-85870211	DDAH1
chr1:85784168-85930889	DDAH1
chr1:85784168-86044046	DDAH1
chr1:86115106-86174116	ZNHIT6
chr1:86889566-86922240	CLCA2
chr1:86934526-86965974	CLCA1
chr1:87012759-87046432	CLCA4
chr1:87036864-87170176	LOC105378828
chr1:87099959-87121059	CLCA3P
chr1:87170253-87213867	SH3GLB1
chr1:87328128-87380048	SELENOF
chr1:87380335-87564125	HS2ST1
chr1:87380335-87575681	HS2ST1
chr1:87595448-87634886	LINC01140
chr1:87678352-87717014	LOC101927844
chr1:87794151-87814607	LMO4
chr1:89003196-89150887	PKN2-AS1
chr1:89149827-89301938	PKN2
chr1:89318321-89357301	GTF2B
chr1:89401456-89458431	KYAT3
chr1:89401456-89458643	KYAT3
chr1:89472360-89488549	GBP3
chr1:89474527-89488549	GBP3
chr1:89517987-89531043	GBP1
