Gene	Gene_Symbol	Predict	Prob_0	Prob_1
chr1:19401000-19536746	UBR4	1.0	0.316	0.684
chr6_qbl_hap6:1963777-1973892	MDC1-AS1	1.0	0.318	0.682
chr6_cox_hap2:2182914-2193030	MDC1-AS1	1.0	0.318	0.682
chr6_mann_hap4:2018939-2029055	MDC1-AS1	1.0	0.318	0.682
chr6_dbb_hap3:1964504-1974620	MDC1-AS1	1.0	0.32	0.68
chr6:30670844-30680961	MDC1-AS1	1.0	0.322	0.678
chr6_ssto_hap7:2003151-2013267	MDC1-AS1	1.0	0.322	0.678
chr12:133416938-133464204	CHFR	1.0	0.322	0.678
chr18:75683253-75705683	LINC01029	1.0	0.324	0.676
chr3:149036285-149051259	TM4SF18	1.0	0.326	0.674
chr3:149036285-149051548	TM4SF18	1.0	0.326	0.674
chr10:70042417-70092684	PBLD	1.0	0.326	0.674
chr5:173763357-173954142	LINC01411	1.0	0.326	0.674
chr11:56615954-56645554	LOC101927120	1.0	0.326	0.674
chr3:112280832-112304424	SLC35A5	1.0	0.328	0.672
chr9:116172924-116191964	C9orf43	1.0	0.328	0.672
chr5:79904440-79918343	LINC01337	1.0	0.328	0.672
chr7:86781677-86825648	DMTF1	1.0	0.33	0.67
chr5:96110188-96149848	ERAP1	1.0	0.332	0.668
chr5:96110188-96143892	ERAP1	1.0	0.332	0.668
chr4:25378848-25420120	ANAPC4	1.0	0.334	0.666
chr3:2152093-2185925	CNTN4-AS2	1.0	0.336	0.664
chr7:42000548-42276618	GLI3	1.0	0.336	0.664
chr11:89867818-89925779	NAALAD2	1.0	0.336	0.664
chr12:25205181-25261269	LRMP	1.0	0.338	0.662
chr11:118754475-118766980	CXCR5	1.0	0.34	0.66
chr2:9983571-10074545	TAF1B	1.0	0.344	0.656
chr2:9983571-10074546	TAF1B	1.0	0.344	0.656
chr2:11864460-11924431	LPIN1	1.0	0.344	0.656
chr8:117858173-117887105	RAD21	1.0	0.346	0.654
chr2:172543919-172606668	DYNC1I2	1.0	0.346	0.654
chr12:31800094-31822016	ETFBKMT	1.0	0.35	0.65
chr7:129906703-129929637	CPA2	1.0	0.35	0.65
chr10:129785544-129884119	PTPRE	1.0	0.352	0.648
chr12:53458100-53473204	SPRYD3	1.0	0.352	0.648
chr5:602284-612325	LOC100996325	1.0	0.352	0.648
chr6:8073593-8102828	EEF1E1	1.0	0.352	0.648
chr12:24376205-24390899	SOX5-AS1	1.0	0.354	0.646
chr2:11864441-11967533	LPIN1	1.0	0.354	0.646
chr11:100999808-101030001	PGR-AS1	1.0	0.356	0.644
chr3:111578027-111695364	PHLDB2	1.0	0.356	0.644
chr5:111992125-112018585	LOC102467216	1.0	0.356	0.644
chr2:4675808-4703812	LINC01249	1.0	0.358	0.642
chr12:96196875-96217092	LINC02410	1.0	0.358	0.642
chr10:6052657-6104333	IL2RA	1.0	0.358	0.642
chr6:133065009-133079147	VNN2	1.0	0.36	0.64
chr6:133065009-133084598	VNN2	1.0	0.36	0.64
chr6:17759414-17987854	KIF13A	1.0	0.36	0.64
chr18:59854524-59974355	KIAA1468	1.0	0.36	0.64
chr16:57496551-57505921	POLR2C	1.0	0.362	0.638
chr1:34642553-34684731	C1orf94	1.0	0.362	0.638
chr9:116263707-116304371	RGS3	1.0	0.364	0.636
chr12:96337071-96362370	AMDHD1	1.0	0.364	0.636
chr9:116263707-116360023	RGS3	1.0	0.364	0.636
chr1:220087606-220101993	SLC30A10	1.0	0.364	0.636
chr19:52264453-52273779	FPR2	1.0	0.372	0.628
chr17:6011-31421	DOC2B	1.0	0.374	0.626
chr10:131862162-131909081	LINC00959	1.0	0.374	0.626
chr1:40026485-40042521	PABPC4	1.0	0.376	0.624
chr17:35218935-35293960	LOC102723471	1.0	0.376	0.624
chr12:69864129-69973571	FRS2	1.0	0.376	0.624
chr9:95362539-95377437	CENPP	1.0	0.378	0.622
chr9:33110639-33167356	B4GALT1	1.0	0.378	0.622
chr1:180123968-180167169	QSOX1	1.0	0.38	0.62
chr6:24403136-24426422	MRS2	1.0	0.38	0.62
chr6:24403136-24423707	MRS2	1.0	0.38	0.62
chr2:99410309-99552684	KIAA1211L	1.0	0.38	0.62
chr8:6473124-6565730	MCPH1-AS1	1.0	0.382	0.618
chr2:65128974-65159581	LINC02245	1.0	0.382	0.618
chr5:167719065-167899308	WWC1	1.0	0.384	0.616
chr19:10216899-10226064	PPAN-P2RY11	1.0	0.39	0.61
chr6:25962917-25987557	TRIM38	1.0	0.392	0.608
chr12:70077021-70093196	BEST3	1.0	0.392	0.608
chr6:41176292-41185685	TREML3P	1.0	0.394	0.606
chr4:81106424-81125482	PRDM8	1.0	0.396	0.604
chr11:116510139-116528969	LOC101929011	1.0	0.396	0.604
chr15:58724175-58861073	LIPC	1.0	0.396	0.604
chr6:148830287-148873186	SASH1	1.0	0.396	0.604
chr11:11984543-12030917	DKK3	1.0	0.396	0.604
chr11:11984543-12030629	DKK3	1.0	0.396	0.604
chr11:11984543-12030186	DKK3	1.0	0.396	0.604
chr1:219254317-219347130	LYPLAL1-AS1	1.0	0.396	0.604
chr5:150480267-150521216	ANXA6	1.0	0.398	0.602
chr5:150480267-150537443	ANXA6	1.0	0.398	0.602
chr4:37612256-37687999	RELL1	1.0	0.4	0.6
chr4:71600063-71659274	RUFY3	1.0	0.4	0.6
chr4:71600063-71674339	RUFY3	1.0	0.4	0.6
chr19:40885178-40896128	HIPK4	1.0	0.4	0.6
chr7:129015484-129070052	AHCYL2	1.0	0.4	0.6
chr19:33321419-33360683	SLC7A9	1.0	0.402	0.598
chr6:33387847-33421466	SYNGAP1	1.0	0.402	0.598
chr4:38773860-38784611	TLR10	1.0	0.402	0.598
chr11:8102909-8127654	TUB	1.0	0.404	0.596
chr4:100737981-100791346	DAPP1	1.0	0.406	0.594
chr14:97263684-97347951	VRK1	1.0	0.406	0.594
chr10:11865397-11914276	PROSER2	1.0	0.408	0.592
chr12:129277739-129308541	SLC15A4	1.0	0.408	0.592
chr7:45951844-45960871	IGFBP3	1.0	0.408	0.592
chr6:90539619-90584155	CASP8AP2	1.0	0.41	0.59
chr4:100737990-100791346	DAPP1	1.0	0.41	0.59
chr12:48103518-48119355	ENDOU	1.0	0.412	0.588
chr3:112641532-112693937	CD200R1	1.0	0.412	0.588
chr11:102921413-102962944	DCUN1D5	1.0	0.412	0.588
chr10:13203554-13253104	MCM10	1.0	0.412	0.588
chr12:7507556-7596781	CD163L1	1.0	0.414	0.586
chr6_cox_hap2:710645-753759	LOC101929006	1.0	0.414	0.586
chr6:29191750-29258217	LOC101929006	1.0	0.414	0.586
chr1:33240840-33283633	YARS	1.0	0.414	0.586
chr6_cox_hap2:710645-777135	LOC101929006	1.0	0.414	0.586
chr6:44126548-44152139	CAPN11	1.0	0.414	0.586
chr12:69753490-69784650	YEATS4	1.0	0.418	0.582
chr18:24002959-24018008	LINC01543	1.0	0.418	0.582
chr3:3168600-3190706	TRNT1	1.0	0.418	0.582
chr7:127990379-128001739	PRRT4	1.0	0.42	0.58
chr19:45582518-45594782	GEMIN7	1.0	0.422	0.578
chr8:69824038-70016425	LINC01592	1.0	0.422	0.578
chr8:103563848-103573245	ODF1	1.0	0.422	0.578
chr4:100485235-100545154	MTTP	1.0	0.424	0.576
chr3:184119325-184157436	LINC02054	1.0	0.424	0.576
chr11:105921825-105948465	KBTBD3	1.0	0.426	0.574
chr7:86781870-86825648	DMTF1	1.0	0.428	0.572
chr1:159796479-159807282	SLAMF8	1.0	0.428	0.572
chr10:89511269-89577988	ATAD1	1.0	0.428	0.572
chr3:45927996-45944667	CCR9	1.0	0.428	0.572
chr19:45582530-45594782	GEMIN7	1.0	0.43	0.57
chr11:36293842-36310999	COMMD9	1.0	0.43	0.57
chr6_mann_hap4:495193-561652	LOC101929006	1.0	0.43	0.57
chr12:121163541-121177811	ACADS	1.0	0.43	0.57
chr20:62289163-62330051	RTEL1-TNFRSF6B	1.0	0.43	0.57
chr6_mann_hap4:495193-538279	LOC101929006	1.0	0.43	0.57
chr6_ssto_hap7:532681-599157	LOC101929006	1.0	0.43	0.57
chr2:162999379-163008914	GCG	1.0	0.43	0.57
chr20:62289163-62327606	RTEL1	1.0	0.43	0.57
chr5:119867159-120023025	PRR16	1.0	0.432	0.568
chr5:6714718-6757161	PAPD7	1.0	0.432	0.568
chr16:88880142-88923374	GALNS	1.0	0.434	0.566
chr20:61991340-62002529	LOC100130587	1.0	0.434	0.566
chr19:11784813-11797384	ZNF833P	1.0	0.434	0.566
chr2:33780112-33794497	LOC105374454	1.0	0.434	0.566
chr16:88880142-88923378	GALNS	1.0	0.434	0.566
chr7:37037401-37053235	ELMO1-AS1	1.0	0.436	0.564
chr1:163291723-163325553	NUF2	1.0	0.438	0.562
chr12:96189123-96252617	LOC105369921	1.0	0.44	0.56
chr5:863850-892674	BRD9	1.0	0.44	0.56
chr19:52021073-52035110	SIGLEC6	1.0	0.44	0.56
chr12:133360454-133405426	GOLGA3	1.0	0.44	0.56
chr5:863850-892637	BRD9	1.0	0.44	0.56
chr11:102217913-102249401	BIRC2	1.0	0.44	0.56
chr5:863850-892939	BRD9	1.0	0.44	0.56
chr6:72926145-73112845	RIMS1	1.0	0.44	0.56
chr12:118814358-118855840	SUDS3	1.0	0.442	0.558
chr14:71189243-71250169	MAP3K9	1.0	0.442	0.558
chr8:26247906-26270645	BNIP3L	1.0	0.442	0.558
chr14:70653825-70699300	LOC646548	1.0	0.442	0.558
chr4:185262184-185275130	LINC02363	1.0	0.444	0.556
chr5:170210723-170241050	GABRP	1.0	0.444	0.556
chr17:37894154-37903538	GRB7	1.0	0.446	0.554
chr5:149151503-149234585	PPARGC1B	1.0	0.446	0.554
chr11:3829766-3847601	PGAP2	1.0	0.448	0.552
chr12:68825622-68845264	LINC02384	1.0	0.448	0.552
chr4:125585207-125633887	ANKRD50	1.0	0.448	0.552
chr11:95502106-95522954	FAM76B	1.0	0.448	0.552
chr11:95502106-95522955	FAM76B	1.0	0.448	0.552
chr12:104850692-105155792	CHST11	1.0	0.448	0.552
chr17:37894162-37903538	GRB7	1.0	0.45	0.55
chr1:16573335-16678986	FBXO42	1.0	0.45	0.55
chr7:54624663-54639419	VSTM2A-OT1	1.0	0.452	0.548
chr10:114067936-114116353	GUCY2GP	1.0	0.452	0.548
chr7:27565059-27702620	HIBADH	1.0	0.454	0.546
chr10:10976903-10994126	LINC00710	1.0	0.454	0.546
chr3:156008776-156256927	KCNAB1	1.0	0.454	0.546
chr18:55102917-55158530	ONECUT2	1.0	0.454	0.546
chr3:112280527-112304424	SLC35A5	1.0	0.456	0.544
chr2:154800907-155310489	GALNT13	1.0	0.458	0.542
chr3:156008826-156256541	KCNAB1	1.0	0.458	0.542
chr2:68384962-68403370	PNO1	1.0	0.458	0.542
chr7:14184674-14942550	DGKB	1.0	0.46	0.54
chr7:14184674-14943281	DGKB	1.0	0.46	0.54
chr7:43906157-43946231	URGCP-MRPS24	1.0	0.46	0.54
chr20:56081798-56100163	CTCFL	1.0	0.46	0.54
chr20:56081798-56100708	CTCFL	1.0	0.46	0.54
chr20:56081798-56099923	CTCFL	1.0	0.46	0.54
chr1:216245807-216260259	LOC102723833	1.0	0.46	0.54
chr13:108921977-108960832	TNFSF13B	1.0	0.46	0.54
chr2:65216495-65251000	SLC1A4	1.0	0.462	0.538
chr3:193116756-193272911	ATP13A4	1.0	0.462	0.538
chr3:16215829-16273499	GALNT15	1.0	0.462	0.538
chr16:57406373-57418960	CX3CL1	1.0	0.462	0.538
chr1:41480262-41509562	SLFNL1-AS1	1.0	0.462	0.538
chr3:186569676-186579157	ADIPOQ-AS1	1.0	0.464	0.536
chr12:25150496-25205380	LOC645177	1.0	0.464	0.536
chr10:70975089-70992246	LOC101928994	1.0	0.464	0.536
chr19:45582453-45594174	GEMIN7	1.0	0.464	0.536
chr8:104311059-104345094	FZD6	1.0	0.466	0.534
chr2:238707388-238751451	RBM44	1.0	0.466	0.534
chr2:56400669-56412905	LOC100129434	1.0	0.466	0.534
chr14:51955839-52197444	FRMD6	1.0	0.466	0.534
chr3:123687863-123710199	ROPN1	1.0	0.466	0.534
chr1:220863628-220872499	C1orf115	1.0	0.466	0.534
chr11:107661717-107729914	SLC35F2	1.0	0.466	0.534
chr3:123687863-123711017	ROPN1	1.0	0.466	0.534
chr4:40198527-40246384	RHOH	1.0	0.466	0.534
chr4:22328990-22341289	LOC100505912	1.0	0.466	0.534
chr4:166248818-166264314	MSMO1	1.0	0.466	0.534
chr5:148727679-148737205	GRPEL2-AS1	1.0	0.468	0.532
chr12:113344582-113355831	OAS1	1.0	0.468	0.532
chr21:41239347-41301322	PCP4	1.0	0.468	0.532
chr12:113344582-113357712	OAS1	1.0	0.468	0.532
chr2:172544182-172606668	DYNC1I2	1.0	0.468	0.532
chr18:60790579-60986613	BCL2	1.0	0.468	0.532
chr9:137271141-137332432	RXRA	1.0	0.468	0.532
chr12:113344582-113369995	OAS1	1.0	0.468	0.532
chr11:33880123-33891509	LMO2	1.0	0.47	0.53
chr11:33880123-33891371	LMO2	1.0	0.47	0.53
chr17:8706041-8770994	PIK3R6	1.0	0.47	0.53
chr11:33880123-33913836	LMO2	1.0	0.47	0.53
chr1:18434240-18704977	IGSF21	1.0	0.472	0.528
chr3:16216184-16271253	GALNT15	1.0	0.472	0.528
chr6:111580482-111590261	MFSD4B	1.0	0.472	0.528
chr7:50599457-50611161	DDC-AS1	1.0	0.472	0.528
chr13:40921271-41055143	LINC00598	1.0	0.472	0.528
chr2:151409046-151428735	LINC01920	1.0	0.474	0.526
chr21:43823971-43867790	UBASH3A	1.0	0.474	0.526
chr12:113796371-113827458	PLBD2	1.0	0.474	0.526
chr6:30119723-30128711	TRIM10	1.0	0.474	0.526
chr1:208059883-208084683	CD34	1.0	0.474	0.526
chr7:129932974-129964020	CPA4	1.0	0.474	0.526
chr15:85523744-85682376	PDE8A	1.0	0.476	0.524
chr3:18004064-18310410	LOC339862	1.0	0.476	0.524
chr7:8152815-8301911	ICA1	1.0	0.478	0.522
chr2:239229185-239309541	TRAF3IP1	1.0	0.478	0.522
chr7:8152815-8302242	ICA1	1.0	0.478	0.522
chr20:15872979-15966527	LOC613266	1.0	0.48	0.52
chr1:112025970-112106625	TMIGD3	1.0	0.48	0.52
chr3:39304985-39322764	CX3CR1	1.0	0.48	0.52
chr3:39304985-39323226	CX3CR1	1.0	0.48	0.52
chr17:44107282-44270166	KANSL1	1.0	0.48	0.52
chr20:15872979-15903959	LOC613266	1.0	0.48	0.52
chr1:112025970-112046743	TMIGD3	1.0	0.48	0.52
chr13:96085853-96232010	CLDN10	1.0	0.48	0.52
chr13:111972991-111996594	TEX29	1.0	0.48	0.52
chr1:242011493-242053241	EXO1	1.0	0.48	0.52
chr17:44107282-44270272	KANSL1	1.0	0.48	0.52
chr3:39304985-39321930	CX3CR1	1.0	0.48	0.52
chr1:162824087-162838605	CCDC190	1.0	0.48	0.52
chr17:71782961-71796934	LINC02092	1.0	0.48	0.52
chr3:39304985-39321527	CX3CR1	1.0	0.48	0.52
chr17:44107282-44302740	KANSL1	1.0	0.48	0.52
chr2:68961913-69053957	ARHGAP25	1.0	0.482	0.518
chr6_dbb_hap3:1413449-1422435	TRIM10	1.0	0.482	0.518
chr2:20883774-21022890	LDAH	1.0	0.482	0.518
chr22:34120972-34146803	LARGE-AS1	1.0	0.482	0.518
chr12:1901123-2027870	CACNA2D4	1.0	0.482	0.518
chr6_ssto_hap7:3483711-3493616	AGPAT1	1.0	0.482	0.518
chr1:231154704-231175995	FAM89A	1.0	0.482	0.518
chr6_mann_hap4:1468289-1477275	TRIM10	1.0	0.482	0.518
chr3:191046874-191116459	CCDC50	1.0	0.484	0.516
chr9:102117622-102137539	NAMA	1.0	0.484	0.516
chr13:20796101-20806534	GJB6	1.0	0.484	0.516
chr8:79645007-79717758	IL7	1.0	0.484	0.516
chr4:144106070-144136716	USP38	1.0	0.484	0.516
chr1:59597608-59612479	HSD52	1.0	0.484	0.516
chr7:77976559-77988770	RPL13AP17	1.0	0.484	0.516
chr4:144106070-144145027	USP38	1.0	0.484	0.516
chr6:46820242-46889714	ADGRF5	1.0	0.484	0.516
chr13:20796101-20805372	GJB6	1.0	0.484	0.516
chr6:32135983-32145888	AGPAT1	1.0	0.484	0.516
chr3:141043055-141168632	ZBTB38	1.0	0.484	0.516
chr6:46820242-46922675	ADGRF5	1.0	0.484	0.516
chr20:10618332-10654694	JAG1	1.0	0.484	0.516
chr14:56981049-57018027	LOC101927690	1.0	0.484	0.516
chr2:56301789-56317517	LINC01813	1.0	0.486	0.514
chr12:3724494-3862366	CRACR2A	1.0	0.486	0.514
chr20:3907956-3996238	RNF24	1.0	0.486	0.514
chr1:153270338-153283194	PGLYRP3	1.0	0.486	0.514
chr20:55204358-55214338	TFAP2C	1.0	0.486	0.514
chr11:3848208-3862213	RHOG	1.0	0.486	0.514
chrX:149092377-149103202	CXorf40A	1.0	0.486	0.514
chr12:97858799-97927544	RMST	1.0	0.486	0.514
chr12:77415026-77459360	E2F7	1.0	0.486	0.514
chr6:22654389-22718153	LOC105374972	1.0	0.486	0.514
chr3:166616471-166649612	LOC105374194	1.0	0.486	0.514
chr1:205350506-205391214	LEMD1	1.0	0.486	0.514
chr3:101043033-101232085	SENP7	1.0	0.488	0.512
chr3:149814230-149868788	LOC105374313	1.0	0.488	0.512
chr12:99137752-99548868	ANKS1B	1.0	0.488	0.512
chr9:132427920-132484951	PRRX2	1.0	0.488	0.512
chr12:99137752-99548577	ANKS1B	1.0	0.488	0.512
chr12:99128569-99288674	ANKS1B	1.0	0.488	0.512
chr12:99128569-100378432	ANKS1B	1.0	0.488	0.512
chr12:99128569-99548577	ANKS1B	1.0	0.488	0.512
chr5:151040657-151066615	SPARC	1.0	0.488	0.512
chr5:55807221-55902059	C5orf67	1.0	0.488	0.512
chr8:11278973-11324276	FAM167A	1.0	0.488	0.512
chr18:71983110-72026422	C18orf63	1.0	0.488	0.512
chr6_cox_hap2:1631861-1640846	TRIM10	1.0	0.488	0.512
chr2:162272605-162282378	TBR1	1.0	0.49	0.51
chr1:33473541-33502512	AK2	1.0	0.49	0.51
chr11:94898677-94964246	SESN3	1.0	0.49	0.51
chr11:94898677-94965705	SESN3	1.0	0.49	0.51
chr10:62629198-62760736	RHOBTB1	1.0	0.49	0.51
chr5:66478104-66492617	CD180	1.0	0.49	0.51
chr15:93014907-93044347	C15orf32	1.0	0.49	0.51
chr7:105400636-105517031	ATXN7L1	1.0	0.49	0.51
chr17:53343583-53402537	HLF	1.0	0.49	0.51
chr5:151056506-151067468	CTB-113P19.1	1.0	0.49	0.51
chr6:11713888-11779280	ADTRP	1.0	0.49	0.51
chr3:50337320-50349812	HYAL1	1.0	0.49	0.51
chr10:62629198-62761198	RHOBTB1	1.0	0.49	0.51
chr6:26472172-26482737	LOC285819	1.0	0.49	0.51
chr13:25755470-25764795	LINC01053	1.0	0.49	0.51
chr3:1134342-1445292	CNTN6	1.0	0.49	0.51
chr10:62629198-62704033	RHOBTB1	1.0	0.49	0.51
chr11:3829240-3847601	PGAP2	1.0	0.492	0.508
chr4:37585855-37595132	C4orf19	1.0	0.492	0.508
chr18:22305745-22346609	LOC105372028	1.0	0.492	0.508
chr11:10594638-10715121	MRVI1	1.0	0.492	0.508
chr2:16730730-16847134	FAM49A	1.0	0.492	0.508
chr11:10594638-10715535	MRVI1	1.0	0.492	0.508
chr7:8008374-8128709	GLCCI1	1.0	0.492	0.508
chr6:13279527-13295818	LOC100130357	1.0	0.492	0.508
chr2:218147456-218208927	DIRC3-AS1	1.0	0.492	0.508
chr6_mann_hap4:3478807-3488712	AGPAT1	1.0	0.492	0.508
chrX:106143394-106174091	CLDN2	1.0	0.492	0.508
chr18:74724739-74844774	MBP	1.0	0.492	0.508
chr8:102996660-103007078	LOC104054148	1.0	0.492	0.508
chr10:119243804-119304579	EMX2OS	1.0	0.492	0.508
chr10:115348583-115423829	NRAP	1.0	0.492	0.508
chr1:207191866-207206101	C1orf116	1.0	0.492	0.508
chr6:52226926-52272575	PAQR8	1.0	0.492	0.508
chr10:119243804-119302100	EMX2OS	1.0	0.492	0.508
chrX:69260392-69269788	AWAT2	1.0	0.492	0.508
chr11:10594638-10673848	MRVI1	1.0	0.492	0.508
chr20:3869486-3910529	PANK2	1.0	0.494	0.506
chr1:144851424-145039995	PDE4DIP	1.0	0.494	0.506
chr8:25699246-25902640	EBF2	1.0	0.494	0.506
chr2:37869025-37899678	CDC42EP3	1.0	0.494	0.506
chrX:154006959-154033802	MPP1	1.0	0.494	0.506
chr2:173292283-173371183	ITGA6	1.0	0.494	0.506
chr5:119799973-120023025	PRR16	1.0	0.494	0.506
chr2:37869025-37899342	CDC42EP3	1.0	0.494	0.506
chr1:144851424-144995033	PDE4DIP	1.0	0.494	0.506
chr8:17089021-17103967	CNOT7	1.0	0.494	0.506
chr6:43149922-43192325	CUL9	1.0	0.494	0.506
chr8:17089021-17104126	CNOT7	1.0	0.494	0.506
chr12:119419300-119600856	SRRM4	1.0	0.494	0.506
chr8:17089021-17104418	CNOT7	1.0	0.494	0.506
chr1:144851424-144932032	PDE4DIP	1.0	0.494	0.506
chr2:113875470-113891593	IL1RN	1.0	0.496	0.504
chr4:38111802-38140796	TBC1D1	1.0	0.496	0.504
chr15:74528630-74628482	CCDC33	1.0	0.496	0.504
chr4:44175920-44450824	KCTD8	1.0	0.496	0.504
chr1:205404014-205425214	BLACAT1	1.0	0.496	0.504
chr2:231041189-231084827	SP110	1.0	0.496	0.504
chr12:133302253-133338474	ANKLE2	1.0	0.496	0.504
chr2:231041189-231090444	SP110	1.0	0.496	0.504
chrX:134382536-134478012	ZNF75D	1.0	0.496	0.504
chr10:125505152-125651500	CPXM2	1.0	0.496	0.504
chr21:43305219-43346799	C2CD2	1.0	0.496	0.504
chr3:111578568-111695364	PHLDB2	1.0	0.496	0.504
chr11:7458868-7487066	LOC100506258	1.0	0.496	0.504
chr21:43305219-43373999	C2CD2	1.0	0.496	0.504
chr15:51669443-51700197	GLDN	1.0	0.496	0.504
chr10:80027085-80039970	LINC00595	1.0	0.496	0.504
chr8:110586208-110620291	SYBU	1.0	0.496	0.504
chr1:114631914-114695062	SYT6	1.0	0.498	0.502
chr21:39644342-39673746	KCNJ15	1.0	0.498	0.502
chr1:116966346-117021448	LINC01762	1.0	0.498	0.502
chr5:168088738-168728133	SLIT3	1.0	0.498	0.502
chr10:6469105-6622263	PRKCQ	1.0	0.498	0.502
chr10:6469105-6622608	PRKCQ	1.0	0.498	0.502
